nom,adresse,ville,categorie,description
Café Mokxa,3 Rue de l'Abbé Rozier,Lyon,café,Torréfacteur artisanal et café de spécialité dans le quartier des pentes
Les Halles de Lyon Paul Bocuse,102 Cours Lafayette,Lyon,marché,Temple de la gastronomie lyonnaise avec primeurs et fromagers
Parc de la Tête d'Or,Place du Général Leclerc,Lyon,nature,Grand parc urbain avec lac jardin botanique et zoo gratuit
Librairie Passages,11 Rue de Brest,Lyon,culture,Grande librairie indépendante sur plusieurs étages
Boulangerie du Palais,8 Rue du Palais Grillet,Lyon,boulangerie,Pains au levain et viennoiseries primés du Vieux-Lyon
Le Sucre,50 Quai Rambaud,Lyon,sortie,Rooftop culturel et club sur les docks de Confluence
Musée des Confluences,86 Quai Perrache,Lyon,culture,Musée des sciences et sociétés à l'architecture spectaculaire
Marché de la Croix-Rousse,Boulevard de la Croix-Rousse,Lyon,marché,Marché de plein air quotidien très vivant sur le plateau
Guignol de Lyon,2 Rue Louis Carrand,Lyon,sortie,Théâtre de marionnettes historique pour petits et grands
Pignol,8 Place Bellecour,Lyon,boulangerie,Maison de pâtisserie et salon de thé réputé
Parc de Gerland,Allée Pierre de Coubertin,Lyon,nature,Grand parc au sud avec skatepark et bords de Rhône
La Friche Lamartine,21 Rue Sébastien Gryphe,Lyon,café,Tiers-lieu associatif avec café cantine et ateliers
